,Name,Price,Make,Model,Fuel Type,Odometer,Colour,Engine Size ( in Litres),Transmission,Body Type,Manufacturing Year,County,Owners,Doors,Tax Expiry,NCT Expiry,Link
72,LAND ROVER RANGE ROVER VELAR,"€64,950",LAND,ROVER,Diesel,"67,999",Silver,2.0,Automatic,SUV,2018,Limerick,1,5,Mar-2022,Apr-2024,http://www.cars.ie/used-cars/LAND-ROVER-RANGE-ROVER-VELAR-2018-Limerick-1735612
73,VOLKSWAGEN TIGUAN,POA,VOLKSWAGEN,TIGUAN,Diesel,0,Beige,2.0,Manual,SUV,2013,Wicklow,4,-,Nov-2022,Dec-2023,http://www.cars.ie/used-cars/VOLKSWAGEN-TIGUAN-2013-Wicklow-1735529
74,BMW X3,POA,BMW,X3,Diesel,0,Grey,2.0,Automatic,SUV,2022,Westmeath,1,4,Oct-2022,Mar-2026,http://www.cars.ie/used-cars/BMW-X3-2022-Westmeath-1735679
75,MAZDA CX-5,"€19,900",MAZDA,CX-5,Diesel,"85,657",Grey,2.2,Manual,SUV,2016,Cork,1,5,Dec-2022,May-2022,http://www.cars.ie/used-cars/MAZDA-CX-5-2016-Cork-1735528
76,MERCEDES-BENZ S CLASS,"€119,950",MERCEDES-BENZ,S,Diesel,"41,999",Black,3.0,Automatic,Saloon,2021,Limerick,-,4,Jun-2023,Jun-2025,http://www.cars.ie/used-cars/MERCEDES-BENZ-S-CLASS-2021-Limerick-1735678
77,MERCEDES-BENZ EQE,"€101,900",MERCEDES-BENZ,EQE,Electric,0,Blue,0.0,Automatic,Saloon,2023,Galway,-,-,-,-,http://www.cars.ie/used-cars/MERCEDES-BENZ-EQE-2023-Galway-1735674
78,HYUNDAI TUCSON,"€22,990",HYUNDAI,TUCSON,Diesel,"83,153",White,1.7,Manual,SUV,2018,Cork,2,-,Jan-2023,Jan-2024,http://www.cars.ie/used-cars/HYUNDAI-TUCSON-2018-Cork-1735526
79,MERCEDES-BENZ C CLASS,"€29,950",MERCEDES-BENZ,C,Diesel,"44,999",Black,1.6,Automatic,Saloon,2017,Dublin,1,4,Oct-2023,Jul-2023,http://www.cars.ie/used-cars/MERCEDES-BENZ-C-CLASS-2017-Dublin-1735553
80,NISSAN MICRA,"€15,495",NISSAN,MICRA,Petrol,"62,277",Black,1.0,Manual,Hatchback,2018,Dublin,3,5,Dec-2022,Feb-2024,http://www.cars.ie/used-cars/NISSAN-MICRA-2018-Dublin-1735524
81,OPEL MOVANO,POA,OPEL,MOVANO,Diesel,"127,386",White,2.3,Manual,Van,2018,Wexford,1,5,Aug-2022,-,http://www.cars.ie/used-cars/OPEL-MOVANO-2018-Wexford-1735437
82,VOLKSWAGEN PASSAT,"€6,490",VOLKSWAGEN,PASSAT,Diesel,"257,494",Black,2.0,Manual,Saloon,2011,Louth,3,4,Sep-2021,Aug-2023,http://www.cars.ie/used-cars/VOLKSWAGEN-PASSAT-2011-Louth-1735512
83,PEUGEOT 3008,"€24,888",PEUGEOT,3008,Diesel,"94,835",White,1.5,Manual,SUV,2018,Wexford,2,4,Nov-2022,Jul-2024,http://www.cars.ie/used-cars/PEUGEOT-3008-2018-Wexford-1735477
84,TOYOTA AURIS,"€17,750",TOYOTA,AURIS,Diesel,"54,718",White,1.4,Manual,Van,2018,Dublin,1,4,May-2023,-,http://www.cars.ie/used-cars/TOYOTA-AURIS-2018-Dublin-1735750
85,BMW 5 SERIES,POA,BMW,5,Diesel,"209,214",Black,2.0,Automatic,Saloon,2011,Meath,4,4,-,-,http://www.cars.ie/used-cars/BMW-5-SERIES-2011-Meath-1735782
86,VAUXHALL ASTRA,"€9,950",VAUXHALL,ASTRA,Diesel,"270,269",Red,1.6,Manual,Hatchback,2016,Dublin,3,5,Nov-2022,Feb-2024,http://www.cars.ie/used-cars/VAUXHALL-ASTRA-2016-Dublin-1735556
87,HYUNDAI TUCSON,"€22,995",HYUNDAI,TUCSON,Diesel,"91,499",Grey,1.7,Manual,SUV,2017,Cork,1,5,Oct-2023,Jan-2023,http://www.cars.ie/used-cars/HYUNDAI-TUCSON-2017-Cork-1735749
88,HYUNDAI TUCSON,"€27,995",HYUNDAI,TUCSON,Diesel,"54,425",Brown,1.6,Manual,SUV,2019,Cork,2,5,Jun-2023,Jan-2023,http://www.cars.ie/used-cars/HYUNDAI-TUCSON-2019-Cork-1735748
89,VOLKSWAGEN POLO,"€22,500",VOLKSWAGEN,POLO,Petrol,"7,545",White,1.0,Manual,Hatchback,2021,Limerick,2,5,Dec-2022,Jul-2025,http://www.cars.ie/used-cars/VOLKSWAGEN-POLO-2021-Limerick-1735613
90,LEXUS IS 300 H,"€23,995",LEXUS,IS,Petrol,"151,320",Silver,2.5,Automatic,Saloon,2015,Westmeath,1,-,Dec-2022,Oct-2023,http://www.cars.ie/used-cars/LEXUS-IS-300-H-2015-Westmeath-1735786
91,MINI HATCH,"€19,995",MINI,HATCH,Diesel,"65,920",Grey,1.5,Manual,Hatchback,2017,Galway,2,2,Aug-2022,Jul-2021,http://www.cars.ie/used-cars/MINI-HATCH-2017-Galway-1735747
92,TOYOTA COROLLA,POA,TOYOTA,COROLLA,Petrol,"80,594",Grey,1.2,Manual,Hatchback,2019,Longford,1,4,Jan-2023,Jul-2023,http://www.cars.ie/used-cars/TOYOTA-COROLLA-2019-Longford-1735746
93,TOYOTA YARIS,POA,TOYOTA,YARIS,Petrol,"232,297",Black,1.3,Manual,Hatchback,2012,Longford,2,3,-,-,http://www.cars.ie/used-cars/TOYOTA-YARIS-2012-Longford-1735745
