,Name,Price,Make,Model,Fuel Type,Odometer,Colour,Engine Size ( in Litres),Transmission,Body Type,Manufacturing Year,County,Owners,Doors,Tax Expiry,NCT Expiry,Link
264,NISSAN QASHQAI,"€18,900",NISSAN,QASHQAI,Petrol,"171,768",Black,2.0,Automatic,Saloon,2017,Dublin,1,4,-,Nov-2024,http://www.cars.ie/used-cars/NISSAN-QASHQAI-2017-Dublin-1735418
265,BMW 3 SERIES,"€25,900",BMW,3,Petrol,"171,765",Black,2.0,Automatic,Saloon,2017,Dublin,1,4,-,Nov-2024,http://www.cars.ie/used-cars/BMW-3-SERIES-2017-Dublin-1735551
266,BMW 3 SERIES,"€25,900",BMW,3,Petrol,"111,044",White,1.3,Automatic,Hatchback,2017,Dublin,1,5,-,Dec-2023,http://www.cars.ie/used-cars/BMW-3-SERIES-2017-Dublin-1735550
267,MAZDA MAZDA2,"€7,500",MAZDA,MAZDA2,Petrol,"99,929",Silver,1.2,Manual,Hatchback,2012,Dublin,1,5,Feb-2023,Jul-2023,http://www.cars.ie/used-cars/MAZDA-MAZDA2-2012-Dublin-1735564
268,HYUNDAI I20,"€10,650",HYUNDAI,I20,Petrol,"91,732",Blue,1.4,Automatic,Hatchback,2015,Dublin,1,5,-,Dec-2024,http://www.cars.ie/used-cars/HYUNDAI-I20-2015-Dublin-1735420
269,AUDI A1,"€12,450",AUDI,A1,Diesel,"288,418",Black,2.1,Automatic,Saloon,2012,Dublin,3,4,Dec-2022,Nov-2022,http://www.cars.ie/used-cars/AUDI-A1-2012-Dublin-1735563
270,MERCEDES-BENZ E CLASS,POA,MERCEDES-BENZ,E,Diesel,"109,961",Black,1.6,Manual,Saloon,2014,Wexford,1,4,-,Nov-2024,http://www.cars.ie/used-cars/MERCEDES-BENZ-E-CLASS-2014-Wexford-1735432
271,TOYOTA AVENSIS,"€15,700",TOYOTA,AVENSIS,Petrol,"62,764",Black,1.5,Automatic,Hatchback,2017,Dublin,1,5,-,Dec-2024,http://www.cars.ie/used-cars/TOYOTA-AVENSIS-2017-Dublin-1735423
272,VOLKSWAGEN GOLF,"€22,950",VOLKSWAGEN,GOLF,Diesel,"170,624",White,1.6,Manual,Van,2018,Dublin,1,2,-,Nov-2023,http://www.cars.ie/used-cars/VOLKSWAGEN-GOLF-2018-Dublin-1735632
273,CITROEN BERLINGO,"€11,700",CITROEN,BERLINGO,Diesel,"117,002",White,1.6,Manual,Van,2019,Dublin,2,3,Dec-2022,-,http://www.cars.ie/used-cars/CITROEN-BERLINGO-2019-Dublin-1735422
274,VOLKSWAGEN GOLF,"€12,950",VOLKSWAGEN,GOLF,Diesel,"143,231",Grey,3.0,Automatic,Estate,2017,Limerick,4,4,Dec-2022,Aug-2023,http://www.cars.ie/used-cars/VOLKSWAGEN-GOLF-2017-Limerick-1735471
275,AUDI Q7,"€54,950",AUDI,Q7,Diesel,"170,624",White,1.6,Manual,Van,2017,Dublin,1,2,-,Nov-2023,http://www.cars.ie/used-cars/AUDI-Q7-2017-Dublin-1735666
276,CITROEN BERLINGO,"€14,400",CITROEN,BERLINGO,Diesel,"70,811",White,2.0,Manual,SUV,2019,Dublin,1,5,-,Nov-2024,http://www.cars.ie/used-cars/CITROEN-BERLINGO-2019-Dublin-1735421
277,LAND ROVER RANGE ROVER EVOQUE,"€29,745",LAND,ROVER,Diesel,"75,002",Grey,1.7,Manual,MPV,2017,Donegal,2,5,Aug-2023,Feb-2025,http://www.cars.ie/used-cars/LAND-ROVER-RANGE-ROVER-EVOQUE-2017-Donegal-1735537
278,KIA SPORTAGE,"€19,975",KIA,SPORTAGE,Petrol,0,-,1.2,Manual,Hatchback,2017,Wexford,-,-,-,-,http://www.cars.ie/used-cars/KIA-SPORTAGE-2017-Wexford-1735472
279,SUZUKI SWIFT,"€19,950",SUZUKI,SWIFT,Diesel,"31,001",Silver,1.6,Manual,MPV,2023,Westmeath,3,5,Jan-2023,Nov-2022,http://www.cars.ie/used-cars/SUZUKI-SWIFT-2023-Westmeath-1735478
280,OPEL MERIVA,"€11,950",OPEL,MERIVA,Diesel,"181,004",Brown,1.7,Manual,MPV,2016,Tipperary,4,4,Feb-2023,Mar-2024,http://www.cars.ie/used-cars/OPEL-MERIVA-2016-Tipperary-1735538
281,KIA SPORTAGE,POA,KIA,SPORTAGE,Diesel,"162,543",Black,2.0,Automatic,Saloon,2014,Cork,1,4,Oct-2022,Feb-2023,http://www.cars.ie/used-cars/KIA-SPORTAGE-2014-Cork-1735436
282,JAGUAR XE,"€21,499",JAGUAR,XE,Diesel,"72,135",Silver,1.6,Manual,Hatchback,2017,Limerick,2,5,Sep-2022,Nov-2024,http://www.cars.ie/used-cars/JAGUAR-XE-2017-Limerick-1735548
283,OPEL ASTRA,"€11,995",OPEL,ASTRA,Diesel,"229,299",Blue,1.7,Manual,Saloon,2016,Waterford,2,4,Jun-2023,Sep-2023,http://www.cars.ie/used-cars/OPEL-ASTRA-2016-Waterford-1735446
284,HYUNDAI I40,"€8,990",HYUNDAI,I40,Diesel,"170,671",Grey,2.4,Manual,Pickup,2012,Limerick,1,4,Oct-2023,Apr-2023,http://www.cars.ie/used-cars/HYUNDAI-I40-2012-Limerick-1735474
285,MITSUBISHI L200,"€25,900",MITSUBISHI,L200,Diesel,"180,922",Red,1.6,Automatic,MPV,2018,Dublin,3,4,Dec-2022,Jun-2023,http://www.cars.ie/used-cars/MITSUBISHI-L200-2018-Dublin-1735419
286,CITROEN GRAND C4 PICASSO,"€12,950",CITROEN,GRAND,Electric,"29,995",Black,0.0,Automatic,Estate,2015,Kildare,1,5,-,May-2023,http://www.cars.ie/used-cars/CITROEN-GRAND-C4-PICASSO-2015-Kildare-1735687
287,AUDI E-TRON,"€65,950",AUDI,E-TRON,Petrol,"170,590",Silver,1.4,Manual,Hatchback,2020,Galway,4,5,Apr-2023,Feb-2023,http://www.cars.ie/used-cars/AUDI-E-TRON-2020-Galway-1735634
288,TOYOTA AURIS,"€3,950",TOYOTA,AURIS,Diesel,"26,499",Blue,2.0,Manual,Hatchback,2008,Cork,2,4,Dec-2022,Jan-2024,http://www.cars.ie/used-cars/TOYOTA-AURIS-2008-Cork-1735462
289,FORD MONDEO,POA,FORD,MONDEO,Hybrid,"60,001",Blue,2.0,Automatic,Saloon,2020,Donegal,1,4,Aug-2023,Jan-2024,http://www.cars.ie/used-cars/FORD-MONDEO-2020-Donegal-1735442
290,BMW 5 SERIES,"€34,950",BMW,5,Diesel,"217,010",Black,2.0,Automatic,Saloon,2018,Dublin,3,4,-,May-2024,http://www.cars.ie/used-cars/BMW-5-SERIES-2018-Dublin-1735665
291,BMW 5 SERIES,POA,BMW,5,Petrol,0,Blue,1.5,Automatic,SUV,2014,Dublin,-,-,-,-,http://www.cars.ie/used-cars/BMW-5-SERIES-2014-Dublin-1735568
292,SUZUKI VITARA,POA,SUZUKI,VITARA,Petrol,0,Black,1.4,Manual,SUV,2023,Waterford,-,5,-,-,http://www.cars.ie/used-cars/SUZUKI-VITARA-2023-Waterford-1735686
293,SUZUKI SX4 S-CROSS,POA,SUZUKI,SX4,Petrol,0,Blue,1.4,Manual,SUV,2023,Waterford,-,-,-,-,http://www.cars.ie/used-cars/SUZUKI-SX4-S-CROSS-2023-Waterford-1735535
294,SUZUKI SX4 S-CROSS,POA,SUZUKI,SX4,Diesel,"300,947",Grey,2.0,Manual,Saloon,2023,Waterford,2,4,Dec-2022,Jul-2023,http://www.cars.ie/used-cars/SUZUKI-SX4-S-CROSS-2023-Waterford-1735536
295,VOLKSWAGEN CC,"€15,995",VOLKSWAGEN,CC,Petrol,0,White,1.2,Automatic,Hatchback,2015,Dublin,-,4,-,-,http://www.cars.ie/used-cars/VOLKSWAGEN-CC-2015-Dublin-1735479
296,SUZUKI IGNIS,POA,SUZUKI,IGNIS,Petrol,0,Red,1.2,Automatic,Hatchback,2023,Waterford,-,5,-,-,http://www.cars.ie/used-cars/SUZUKI-IGNIS-2023-Waterford-1735684
297,SUZUKI IGNIS,POA,SUZUKI,IGNIS,Diesel,"167,371",Blue,3.0,Automatic,Saloon,2023,Waterford,3,4,Nov-2022,Nov-2022,http://www.cars.ie/used-cars/SUZUKI-IGNIS-2023-Waterford-1735683
298,AUDI A6,POA,AUDI,A6,Petrol,0,Blue,1.2,Manual,Hatchback,2014,Waterford,-,-,-,-,http://www.cars.ie/used-cars/AUDI-A6-2014-Waterford-1735685
299,SUZUKI IGNIS,"€18,750",SUZUKI,IGNIS,Petrol,"116,103",Black,1.2,Manual,Hatchback,2023,Waterford,2,5,-,Nov-2024,http://www.cars.ie/used-cars/SUZUKI-IGNIS-2023-Waterford-1735534
300,VAUXHALL CORSA,"€7,750",VAUXHALL,CORSA,Petrol,"47,271",Silver,1.3,Manual,Hatchback,2013,Dublin,-,5,Nov-2022,Mar-2023,http://www.cars.ie/used-cars/VAUXHALL-CORSA-2013-Dublin-1735454
301,PERODUA MYVI,"€3,950",PERODUA,MYVI,Petrol,"116,880",Silver,1.2,Manual,Hatchback,2010,Dublin,1,5,-,Nov-2024,http://www.cars.ie/used-cars/PERODUA-MYVI-2010-Dublin-1735455
302,HYUNDAI I10,"€9,950",HYUNDAI,I10,Petrol,0,Black,1.2,Manual,Hatchback,2016,Dublin,-,-,-,-,http://www.cars.ie/used-cars/HYUNDAI-I10-2016-Dublin-1735453
303,SUZUKI SWIFT,"€19,995",SUZUKI,SWIFT,Petrol,"84,701",Black,1.2,Automatic,Hatchback,2023,Waterford,-,5,-,Nov-2024,http://www.cars.ie/used-cars/SUZUKI-SWIFT-2023-Waterford-1735533
304,VOLKSWAGEN GOLF,"€12,950",VOLKSWAGEN,GOLF,Diesel,0,Blue,2.0,Manual,Saloon,2013,Dublin,4,4,Nov-2022,May-2023,http://www.cars.ie/used-cars/VOLKSWAGEN-GOLF-2013-Dublin-1735682
305,TOYOTA AVENSIS,"€2,995",TOYOTA,AVENSIS,Petrol,"64,480",Red,1.8,Automatic,Saloon,2010,Clare,2,4,Apr-2023,Apr-2023,http://www.cars.ie/used-cars/TOYOTA-AVENSIS-2010-Clare-1735438
306,TOYOTA COROLLA,"€23,950",TOYOTA,COROLLA,Diesel,"210,259",Silver,2.8,Manual,Van,2019,Dublin,2,4,May-2022,-,http://www.cars.ie/used-cars/TOYOTA-COROLLA-2019-Dublin-1735555
307,TOYOTA LANDCRUISER,"€31,888",TOYOTA,LANDCRUISER,Diesel,"214,005",Silver,2.1,Automatic,Saloon,2016,Kildare,2,4,Jan-2023,May-2024,http://www.cars.ie/used-cars/TOYOTA-LANDCRUISER-2016-Kildare-1735463
308,MERCEDES-BENZ E CLASS,"€14,950",MERCEDES-BENZ,E,Diesel,"77,168",Grey,2.1,Automatic,Estate,2014,Dublin,1,5,Nov-2022,Feb-2024,http://www.cars.ie/used-cars/MERCEDES-BENZ-E-CLASS-2014-Dublin-1735681
309,MERCEDES-BENZ GL CLASS,"€34,950",MERCEDES-BENZ,GL,Diesel,"202,777",Blue,2.0,Automatic,Saloon,2016,Dublin,2,4,Aug-2022,May-2024,http://www.cars.ie/used-cars/MERCEDES-BENZ-GL-CLASS-2016-Dublin-1735654
310,AUDI A6,"€17,950",AUDI,A6,Diesel,"138,003",White,2.3,Manual,Van,2014,Limerick,2,3,Sep-2022,Aug-2023,http://www.cars.ie/used-cars/AUDI-A6-2014-Limerick-1735640
311,NISSAN NV400,"€19,950",NISSAN,NV400,Diesel,"87,001",White,1.6,Manual,Hatchback,2018,Dublin,2,3,Feb-2023,Jan-2024,http://www.cars.ie/used-cars/NISSAN-NV400-2018-Dublin-1735532
312,KIA PRO_CEED,"€18,950",KIA,PRO_CEED,Diesel,"152,004",Black,1.6,Manual,Hatchback,2018,Cork,2,5,May-2023,Mar-2024,http://www.cars.ie/used-cars/KIA-PRO_CEED-2018-Cork-1735435
313,VOLKSWAGEN GOLF,"€16,950",VOLKSWAGEN,GOLF,Diesel,"229,334",Blue,1.7,Manual,Saloon,2016,Dublin,2,4,Aug-2022,Jan-2025,http://www.cars.ie/used-cars/VOLKSWAGEN-GOLF-2016-Dublin-1735531
314,KIA OPTIMA,"€17,499",KIA,OPTIMA,Petrol,"90,347",Green,1.0,Manual,MPV,2017,Dublin,1,5,Sep-2023,Jul-2023,http://www.cars.ie/used-cars/KIA-OPTIMA-2017-Dublin-1735411
315,HYUNDAI KONA,"€19,999",HYUNDAI,KONA,Hybrid,"21,087",Blue,2.0,Automatic,Saloon,2019,Dublin,1,4,-,-,http://www.cars.ie/used-cars/HYUNDAI-KONA-2019-Dublin-1735410
316,AUDI A6,"€53,995",AUDI,A6,Hybrid,"114,263",Black,1.8,Automatic,Hatchback,2021,Dublin,2,5,Jun-2023,Jun-2023,http://www.cars.ie/used-cars/AUDI-A6-2021-Dublin-1735403
317,LEXUS CT 200 H,"€17,950",LEXUS,CT,Diesel,"168,783",White,1.6,Manual,Van,2015,Galway,2,3,Dec-2022,Jun-2023,http://www.cars.ie/used-cars/LEXUS-CT-200-H-2015-Galway-1735622
318,FORD TRANSIT CONNECT,"€9,950",FORD,TRANSIT,Diesel,"80,002",Red,1.7,Manual,SUV,2016,Limerick,2,5,-,May-2024,http://www.cars.ie/used-cars/FORD-TRANSIT-CONNECT-2016-Limerick-1735470
319,OPEL MOKKA,"€10,799",OPEL,MOKKA,Petrol,"119,397",Black,1.6,Automatic,Hatchback,2014,Wexford,3,3,-,Oct-2023,http://www.cars.ie/used-cars/OPEL-MOKKA-2014-Wexford-1735401
320,MINI COOPER,"€4,150",MINI,COOPER,Diesel,"117,414",Black,2.0,Manual,Saloon,2007,Dublin,-,5,Oct-2022,Nov-2024,http://www.cars.ie/used-cars/MINI-COOPER-2007-Dublin-1735670
321,SKODA SUPERB,"€17,950",SKODA,SUPERB,Diesel,"125,672",Black,2.0,Manual,Hatchback,2015,Kildare,2,4,Jul-2023,Dec-2024,http://www.cars.ie/used-cars/SKODA-SUPERB-2015-Kildare-1735505
322,AUDI A5,"€19,950",AUDI,A5,Petrol,"120,028",Grey,1.2,Manual,Hatchback,2015,Kildare,1,5,Jul-2023,Nov-2024,http://www.cars.ie/used-cars/AUDI-A5-2015-Kildare-1735506
323,VOLKSWAGEN POLO,"€10,950",VOLKSWAGEN,POLO,Diesel,"154,880",Grey,2.0,Manual,Hatchback,2014,Kildare,2,5,Oct-2022,Nov-2023,http://www.cars.ie/used-cars/VOLKSWAGEN-POLO-2014-Kildare-1735507
324,BMW X1,"€9,995",BMW,X1,Petrol,"123,890",Grey,1.2,Manual,Hatchback,2011,Kildare,3,5,Oct-2022,Jan-2024,http://www.cars.ie/used-cars/BMW-X1-2011-Kildare-1735508
325,SEAT IBIZA,"€4,500",SEAT,IBIZA,Diesel,"240,392",-,2.4,Manual,Van,2009,Kildare,-,-,Feb-2023,-,http://www.cars.ie/used-cars/SEAT-IBIZA-2009-Kildare-1735509
326,MITSUBISHI L200,"€26,950",MITSUBISHI,L200,Diesel,"265,541",Grey,2.0,Manual,Saloon,2018,Kildare,2,4,Jun-2022,Aug-2023,http://www.cars.ie/used-cars/MITSUBISHI-L200-2018-Kildare-1735510
327,AUDI A4,"€9,950",AUDI,A4,Petrol,"105,120",White,1.6,Manual,Hatchback,2012,Louth,3,5,-,-,http://www.cars.ie/used-cars/AUDI-A4-2012-Louth-1735511
328,MINI COUNTRYMAN,POA,MINI,COUNTRYMAN,Diesel,"162,770",White,1.6,Manual,Hatchback,2010,Dublin,3,5,-,Nov-2022,http://www.cars.ie/used-cars/MINI-COUNTRYMAN-2010-Dublin-1735513
329,MINI COUNTRYMAN,POA,MINI,COUNTRYMAN,Diesel,"62,335",Red,1.6,Manual,Van,2014,Dublin,2,3,-,-,http://www.cars.ie/used-cars/MINI-COUNTRYMAN-2014-Dublin-1735514
330,CITROEN BERLINGO,POA,CITROEN,BERLINGO,Diesel,"188,293",Black,1.6,Automatic,Saloon,2019,Dublin,1,4,Jan-2023,Sep-2021,http://www.cars.ie/used-cars/CITROEN-BERLINGO-2019-Dublin-1735517
331,SKODA OCTAVIA,"€10,999",SKODA,OCTAVIA,Petrol,"62,000",White,1.0,Automatic,SUV,2015,Dublin,-,5,Mar-2023,Sep-2023,http://www.cars.ie/used-cars/SKODA-OCTAVIA-2015-Dublin-1735540
332,SUZUKI VITARA,"€19,999",SUZUKI,VITARA,Diesel,"173,453",Black,3.0,Automatic,Coupe,2019,Dublin,3,4,Sep-2023,Jan-2024,http://www.cars.ie/used-cars/SUZUKI-VITARA-2019-Dublin-1735541
333,BMW 6 SERIES,"€29,950",BMW,6,Diesel,"120,251",Silver,2.1,Automatic,SUV,2014,Kildare,-,5,Sep-2022,Jan-2024,http://www.cars.ie/used-cars/BMW-6-SERIES-2014-Kildare-1735542
334,MERCEDES-BENZ GLE CLASS,"€44,950",MERCEDES-BENZ,GLE,Diesel,"154,572",Brown,2.0,Automatic,SUV,2016,Kildare,-,5,Dec-2022,Jul-2023,http://www.cars.ie/used-cars/MERCEDES-BENZ-GLE-CLASS-2016-Kildare-1735543
335,VOLVO XC60,"€35,950",VOLVO,XC60,Diesel,"146,910",Grey,2.0,Automatic,SUV,2019,Kildare,-,4,Jul-2022,Feb-2025,http://www.cars.ie/used-cars/VOLVO-XC60-2019-Kildare-1735544
336,SKODA KODIAQ,"€32,950",SKODA,KODIAQ,Petrol,"121,430",Silver,2.5,Automatic,Saloon,2019,Kildare,1,4,Jan-2023,Sep-2024,http://www.cars.ie/used-cars/SKODA-KODIAQ-2019-Kildare-1735545
337,TOYOTA CAMRY,"€16,950",TOYOTA,CAMRY,Diesel,"220,480",Black,2.0,Manual,Saloon,2014,Kildare,-,4,Jul-2023,Sep-2024,http://www.cars.ie/used-cars/TOYOTA-CAMRY-2014-Kildare-1735546
338,AUDI A4,"€16,950",AUDI,A4,Diesel,"179,998",Bronze,2.0,Manual,SUV,2016,Cavan,-,4,Jun-2022,Oct-2024,http://www.cars.ie/used-cars/AUDI-A4-2016-Cavan-1735415
339,TOYOTA RAV4,"€17,950",TOYOTA,RAV4,Diesel,"112,654",Blue,1.6,Automatic,Saloon,2016,Cavan,-,4,Jul-2022,Sep-2023,http://www.cars.ie/used-cars/TOYOTA-RAV4-2016-Cavan-1735416
340,AUDI A3,"€21,950",AUDI,A3,Petrol,"19,499",Grey,1.4,Manual,SUV,2017,Cavan,-,5,Feb-2022,Feb-2025,http://www.cars.ie/used-cars/AUDI-A3-2017-Cavan-1735417
341,SUZUKI SX4,"€27,450",SUZUKI,SX4,Diesel,"101,163",Blue,2.1,Automatic,Saloon,2021,Mayo,1,4,May-2023,Jan-2024,http://www.cars.ie/used-cars/SUZUKI-SX4-2021-Mayo-1735427
342,MERCEDES-BENZ E CLASS,"€23,950",MERCEDES-BENZ,E,Electric,"36,799",Grey,1.0,Automatic,Saloon,2016,Cork,1,4,Nov-2022,Nov-2023,http://www.cars.ie/used-cars/MERCEDES-BENZ-E-CLASS-2016-Cork-1735428
343,TESLA MODEL 3,"€49,950",TESLA,MODEL,Diesel,"163,998",Blue,1.6,Manual,Hatchback,2019,Cork,1,5,-,Jun-2023,http://www.cars.ie/used-cars/TESLA-MODEL-3-2019-Cork-1735429
344,FORD FOCUS,"€5,850",FORD,FOCUS,Diesel,"228,526",Grey,1.6,Manual,Hatchback,2011,Kilkenny,3,3,Oct-2022,Nov-2023,http://www.cars.ie/used-cars/FORD-FOCUS-2011-Kilkenny-1735449
345,KIA CEED,"€4,495",KIA,CEED,Diesel,"239,999",Grey,2.0,Manual,Saloon,2010,Kilkenny,3,4,Feb-2023,Oct-2023,http://www.cars.ie/used-cars/KIA-CEED-2010-Kilkenny-1735475
346,AUDI A4,"€4,995",AUDI,A4,Diesel,"151,999",Silver,1.6,Manual,Hatchback,2008,Kilkenny,2,5,-,-,http://www.cars.ie/used-cars/AUDI-A4-2008-Kilkenny-1735476
347,VOLKSWAGEN GOLF,"€14,995",VOLKSWAGEN,GOLF,Diesel,"80,467",Orange,3.2,Automatic,Van,2015,Tipperary,1,-,Dec-2022,-,http://www.cars.ie/used-cars/VOLKSWAGEN-GOLF-2015-Tipperary-1735480
348,FORD RANGER,"€36,900",FORD,RANGER,Diesel,"157,599",White,1.4,Manual,MPV,2017,Wexford,1,4,Oct-2022,Aug-2022,http://www.cars.ie/used-cars/FORD-RANGER-2017-Wexford-1735481
349,HYUNDAI IX20,"€12,950",HYUNDAI,IX20,Diesel,"84,999",Silver,1.6,Manual,Hatchback,2016,Kildare,1,4,Nov-2022,Nov-2022,http://www.cars.ie/used-cars/HYUNDAI-IX20-2016-Kildare-1735485
350,CITROEN C4,"€16,450",CITROEN,C4,Petrol,"111,999",Silver,1.2,Manual,Hatchback,2016,Dublin,1,5,May-2023,Mar-2022,http://www.cars.ie/used-cars/CITROEN-C4-2016-Dublin-1735486
351,VOLKSWAGEN GOLF,"€7,450",VOLKSWAGEN,GOLF,Petrol,"14,968",Black,1.0,Manual,Hatchback,2010,Dublin,3,5,Dec-2022,Feb-2024,http://www.cars.ie/used-cars/VOLKSWAGEN-GOLF-2010-Dublin-1735487
352,VOLKSWAGEN POLO,"€19,450",VOLKSWAGEN,POLO,Diesel,"111,999",White,2.0,Manual,SUV,2020,Kilkenny,-,5,Sep-2022,Mar-2023,http://www.cars.ie/used-cars/VOLKSWAGEN-POLO-2020-Kilkenny-1735488
353,VOLKSWAGEN TIGUAN,"€34,999",VOLKSWAGEN,TIGUAN,Petrol,0,Silver,1.4,Manual,Saloon,2019,Dublin,2,4,Jun-2023,Oct-2023,http://www.cars.ie/used-cars/VOLKSWAGEN-TIGUAN-2019-Dublin-1735489
354,FORD FOCUS,"€2,999",FORD,FOCUS,Diesel,"305,688",Grey,2.0,Manual,SUV,2008,Dublin,2,4,Jan-2023,Nov-2024,http://www.cars.ie/used-cars/FORD-FOCUS-2008-Dublin-1735490
355,TOYOTA RAV4,"€12,950",TOYOTA,RAV4,Diesel,"309,832",Red,2.0,Manual,SUV,2015,Kildare,1,5,Oct-2022,Aug-2023,http://www.cars.ie/used-cars/TOYOTA-RAV4-2015-Kildare-1735492
356,SKODA YETI,"€8,950",SKODA,YETI,Diesel,"147,564",Grey,1.6,Manual,Hatchback,2011,Kildare,1,5,Feb-2023,Nov-2024,http://www.cars.ie/used-cars/SKODA-YETI-2011-Kildare-1735493
357,VOLKSWAGEN GOLF,"€15,950",VOLKSWAGEN,GOLF,Petrol,"103,088",Blue,1.4,Manual,Hatchback,2015,Kildare,1,5,Aug-2023,Jan-2024,http://www.cars.ie/used-cars/VOLKSWAGEN-GOLF-2015-Kildare-1735494
358,AUDI A3,"€12,950",AUDI,A3,Diesel,"160,985",Grey,2.2,Manual,SUV,2013,Kildare,1,4,Dec-2022,Nov-2024,http://www.cars.ie/used-cars/AUDI-A3-2013-Kildare-1735495
359,MAZDA CX-5,"€12,950",MAZDA,CX-5,Diesel,"135,383",Red,2.2,Manual,SUV,2015,Kildare,1,4,Sep-2022,Nov-2024,http://www.cars.ie/used-cars/MAZDA-CX-5-2015-Kildare-1735496
360,MAZDA CX-5,"€17,950",MAZDA,CX-5,Diesel,"190,144",White,2.0,Manual,Saloon,2017,Kildare,1,4,Mar-2023,Nov-2024,http://www.cars.ie/used-cars/MAZDA-CX-5-2017-Kildare-1735497
361,OPEL INSIGNIA,"€11,950",OPEL,INSIGNIA,Diesel,"133,295",Blue,2.0,Manual,Saloon,2015,Kildare,-,4,Dec-2022,Jan-2025,http://www.cars.ie/used-cars/OPEL-INSIGNIA-2015-Kildare-1735498
362,JAGUAR XF,"€16,950",JAGUAR,XF,Diesel,"173,113",Red,1.5,Manual,SUV,2016,Kildare,-,5,Nov-2022,Nov-2024,http://www.cars.ie/used-cars/JAGUAR-XF-2016-Kildare-1735499
363,NISSAN QASHQAI,"€16,950",NISSAN,QASHQAI,Diesel,"154,003",Silver,2.0,Manual,SUV,2017,Kildare,4,5,Oct-2022,Oct-2023,http://www.cars.ie/used-cars/NISSAN-QASHQAI-2017-Kildare-1735500
364,HYUNDAI IX35,"€6,950",HYUNDAI,IX35,Petrol,"121,677",White,1.1,Manual,Hatchback,2010,Kildare,1,4,May-2023,Feb-2024,http://www.cars.ie/used-cars/HYUNDAI-IX35-2010-Kildare-1735502
365,RENAULT CLIO,"€12,500",RENAULT,CLIO,Diesel,"293,893",Black,1.5,Manual,SUV,2018,Kildare,1,4,Jun-2023,Nov-2024,http://www.cars.ie/used-cars/RENAULT-CLIO-2018-Kildare-1735503
366,RENAULT KADJAR,"€15,950",RENAULT,KADJAR,Diesel,"109,223",Blue,2.0,Manual,Estate,2017,Kildare,2,5,Oct-2022,-,http://www.cars.ie/used-cars/RENAULT-KADJAR-2017-Kildare-1735504
367,AUDI A6,"€16,900",AUDI,A6,Diesel,"267,587",Black,1.6,Manual,Hatchback,2013,Dublin,4,5,Nov-2022,Aug-2023,http://www.cars.ie/used-cars/AUDI-A6-2013-Dublin-1735464
368,HYUNDAI I30,"€4,995",HYUNDAI,I30,Diesel,"135,234",Black,2.0,Manual,Coupe,2010,Limerick,2,3,Dec-2022,Jun-2024,http://www.cars.ie/used-cars/HYUNDAI-I30-2010-Limerick-1735414
369,AUDI A5,"€25,900",AUDI,A5,Diesel,"125,562",Black,3.0,Automatic,Van,2017,Dublin,1,5,-,-,http://www.cars.ie/used-cars/AUDI-A5-2017-Dublin-1735408
370,MERCEDES-BENZ GL CLASS,"€19,500",MERCEDES-BENZ,GL,Diesel,"207,605",Blue,1.7,Manual,MPV,2009,Galway,1,5,Apr-2023,Aug-2022,http://www.cars.ie/used-cars/MERCEDES-BENZ-GL-CLASS-2009-Galway-1735465
371,HYUNDAI TUCSON,"€15,499",HYUNDAI,TUCSON,Diesel,"105,866",Grey,2.0,Automatic,Saloon,2016,Limerick,2,4,Jul-2023,Mar-2023,http://www.cars.ie/used-cars/HYUNDAI-TUCSON-2016-Limerick-1735413
372,BMW 5 SERIES,"€28,495",BMW,5,Diesel,"135,527",White,2.0,Manual,Van,2017,Dublin,2,5,Feb-2023,Oct-2023,http://www.cars.ie/used-cars/BMW-5-SERIES-2017-Dublin-1735409
373,VOLKSWAGEN CADDY,"€14,250",VOLKSWAGEN,CADDY,Diesel,"234,004",White,2.0,Manual,Saloon,2018,Limerick,1,4,Dec-2022,Jul-2023,http://www.cars.ie/used-cars/VOLKSWAGEN-CADDY-2018-Limerick-1735452
374,BMW 3 SERIES,"€10,795",BMW,3,Diesel,"263,006",Black,2.0,Automatic,Van,2012,Meath,3,4,Dec-2022,Dec-2023,http://www.cars.ie/used-cars/BMW-3-SERIES-2012-Meath-1735433
375,FORD KUGA,"€9,999",FORD,KUGA,Petrol,"83,002",Silver,1.5,Automatic,Hatchback,2014,Meath,1,-,-,Sep-2024,http://www.cars.ie/used-cars/FORD-KUGA-2014-Meath-1735434
376,HONDA FIT,"€12,750",HONDA,FIT,Diesel,"155,034",Silver,2.2,Manual,Estate,2016,Dublin,1,5,Oct-2022,Sep-2023,http://www.cars.ie/used-cars/HONDA-FIT-2016-Dublin-1735547
377,LAND ROVER DISCOVERY SPORT,"€24,950",LAND,ROVER,Diesel,"93,464",Black,3.0,Automatic,Estate,2015,Dublin,1,5,May-2022,Mar-2023,http://www.cars.ie/used-cars/LAND-ROVER-DISCOVERY-SPORT-2015-Dublin-1735447
378,AUDI A6,"€42,950",AUDI,A6,Petrol,"8,851",Black,2.0,Automatic,Saloon,2017,Dublin,1,4,-,-,http://www.cars.ie/used-cars/AUDI-A6-2017-Dublin-1735448
379,VOLVO S90,"€59,950",VOLVO,S90,Petrol,"14,994",Red,1.2,Manual,MPV,2022,Dublin,1,4,Jul-2022,Jan-2026,http://www.cars.ie/used-cars/VOLVO-S90-2022-Dublin-1735473
