,Name,Price,Make,Model,Engine Size,Fuel Type,Odometer,Transmission,Body Type,Manufacturing Year,County,Doors,Color,Owners,Tax Expiry,NCT Expiry,URL
742,SKODA OCTAVIA,"€23,950",SKODA,OCTAVIA,2.0,Diesel,"106,018",Manual,Saloon,2020,Cork,4,Grey,1,Sep-2022,Jan-2023,http://www.cars.ie/used-cars/SKODA-OCTAVIA-2020-Cork-1735813
743,SKODA SUPERB,"€28,950",SKODA,SUPERB,1.6,Diesel,"11,579",Automatic,Saloon,2019,Cork,4,Grey,1,Jun-2022,Jul-2024,http://www.cars.ie/used-cars/SKODA-SUPERB-2019-Cork-1735812
744,SKODA SUPERB,"€34,500",SKODA,SUPERB,2.0,Diesel,"101,388",Automatic,Saloon,2020,Cork,4,Black,1,-,Nov-2023,http://www.cars.ie/used-cars/SKODA-SUPERB-2020-Cork-1735852
745,AUDI A4,POA,AUDI,A4,2.0,Diesel,"202,777",Manual,Hatchback,2019,Limerick,5,Silver,1,Feb-2023,Feb-2023,http://www.cars.ie/used-cars/AUDI-A4-2019-Limerick-1735857
746,SKODA OCTAVIA,"€12,650",SKODA,OCTAVIA,2.0,Petrol,"191,511",Manual,Hatchback,2014,Longford,3,Black,3,-,-,http://www.cars.ie/used-cars/SKODA-OCTAVIA-2014-Longford-1735811
747,HONDA CIVIC,"€5,750",HONDA,CIVIC,1.2,Diesel,"121,001",Manual,Saloon,2005,Longford,4,Silver,3,Sep-2022,May-2024,http://www.cars.ie/used-cars/HONDA-CIVIC-2005-Longford-1735810
748,OPEL ASTRA,"€7,950",OPEL,ASTRA,2.0,Diesel,"239,127",Manual,Coupe,2014,Dublin,4,Black,1,Jun-2023,Sep-2023,http://www.cars.ie/used-cars/OPEL-ASTRA-2014-Dublin-1735807
749,VOLKSWAGEN PASSAT CC,"€8,450",VOLKSWAGEN,PASSAT,1.5,Diesel,"90,604",Manual,Hatchback,2011,Kerry,5,Grey,1,Dec-2022,Apr-2023,http://www.cars.ie/used-cars/VOLKSWAGEN-PASSAT-2011-Kerry-1735829
750,NISSAN QASHQAI,"€24,950",NISSAN,QASHQAI,2.2,Diesel,"142,589",Manual,Saloon,2019,Kerry,4,Brown,3,Sep-2023,Mar-2024,http://www.cars.ie/used-cars/NISSAN-QASHQAI-2019-Kerry-1735830
751,MAZDA MAZDA6,"€11,950",MAZDA,MAZDA6,1.4,Petrol,"167,954",Manual,Hatchback,2016,Kerry,5,Grey,5,Apr-2023,Feb-2023,http://www.cars.ie/used-cars/MAZDA-MAZDA6-2016-Kerry-1735831
752,VOLKSWAGEN GOLF,"€2,450",VOLKSWAGEN,GOLF,1.0,Petrol,"103,255",Manual,Hatchback,2005,Dublin,5,Silver,3,Feb-2023,Jun-2023,http://www.cars.ie/used-cars/VOLKSWAGEN-GOLF-2005-Dublin-1735791
753,TOYOTA YARIS,"€5,950",TOYOTA,YARIS,1.5,Diesel,"184,261",Manual,Hatchback,2010,Kerry,5,Grey,1,Nov-2022,Jan-2023,http://www.cars.ie/used-cars/TOYOTA-YARIS-2010-Kerry-1735828
754,FORD KUGA,"€17,450",FORD,KUGA,1.4,Petrol,"117,564",Automatic,Hatchback,2017,Kerry,5,Grey,1,-,Dec-2024,http://www.cars.ie/used-cars/FORD-KUGA-2017-Kerry-1735827
755,VOLKSWAGEN GOLF,POA,VOLKSWAGEN,GOLF,1.2,Petrol,"109,541",Automatic,Hatchback,2014,Dublin,5,Blue,1,-,Dec-2024,http://www.cars.ie/used-cars/VOLKSWAGEN-GOLF-2014-Dublin-1735849
756,VOLKSWAGEN GOLF,POA,VOLKSWAGEN,GOLF,1.2,Petrol,"106,826",Automatic,Hatchback,2014,Dublin,2,Black,1,-,Dec-2024,http://www.cars.ie/used-cars/VOLKSWAGEN-GOLF-2014-Dublin-1735851
757,VOLKSWAGEN BEETLE,POA,VOLKSWAGEN,BEETLE,1.5,Petrol,"108,478",Automatic,Hatchback,2014,Dublin,5,White,1,-,Dec-2024,http://www.cars.ie/used-cars/VOLKSWAGEN-BEETLE-2014-Dublin-1735847
758,TOYOTA AQUA,POA,TOYOTA,AQUA,1.0,Petrol,"131,731",Automatic,Hatchback,2014,Dublin,5,Black,1,-,Dec-2024,http://www.cars.ie/used-cars/TOYOTA-AQUA-2014-Dublin-1735846
759,FORD FIESTA,POA,FORD,FIESTA,1.4,Petrol,"82,369",Automatic,Saloon,2014,Dublin,4,Black,1,-,Dec-2024,http://www.cars.ie/used-cars/FORD-FIESTA-2014-Dublin-1735850
760,AUDI A3 SALOON,POA,AUDI,A3,1.4,Petrol,"140,465",Automatic,Hatchback,2014,Dublin,5,Black,1,-,Dec-2024,http://www.cars.ie/used-cars/AUDI-A3-SALOON-2014-Dublin-1735845
761,AUDI A3,POA,AUDI,A3,2.0,Diesel,0,Manual,Saloon,2014,Dublin,4,Grey,3,Aug-2023,Jul-2023,http://www.cars.ie/used-cars/AUDI-A3-2014-Dublin-1735848
762,AUDI A6,"€19,950",AUDI,A6,1.6,Petrol,"238,005",Automatic,Hatchback,2015,Kerry,3,Black,3,Mar-2022,Sep-2022,http://www.cars.ie/used-cars/AUDI-A6-2015-Kerry-1735821
